processor, version, num_threads, iteration, time
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 1, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 1, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 1, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 1, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 1, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 4, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 4, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 4, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 4, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 4, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 8, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 8, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 8, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 8, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 8, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 16, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 16, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 16, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 16, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 16, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 24, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 24, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 24, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 24, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 24, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 36, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 36, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 36, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 36, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5,, 36, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 1, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 1, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 1, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 1, 4, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 1, 5, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 4, 1, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 4, 2, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 4, 3, 
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 5-2,, 4, 4, 
