processor, version, num_threads, iteration, time
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 1, 1, 10.1797
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 1, 2, 10.0645
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 1, 3, 9.98463
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 1, 4, 10.0235
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 1, 5, 10.0186
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 2, 1, 10.0664
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 2, 2, 9.95936
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 2, 3, 10.3651
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 2, 4, 10.084
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 2, 5, 9.94201
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 3, 1, 10.0026
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 3, 2, 10.0303
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 3, 3, 10.0407
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 3, 4, 10.1768
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 3, 5, 10.0051
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 4, 1, 10.0294
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 4, 2, 10.0464
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 4, 3, 10.0832
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 4, 4, 10.2121
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 4, 5, 10.1737
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 5, 1, 10.0291
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 5, 2, 10.0446
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 5, 3, 9.95495
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 5, 4, 10.1785
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 5, 5, 10.0555
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 6, 1, 9.99672
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 6, 2, 10.1058
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 6, 3, 9.99706
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 6, 4, 10.1897
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 6, 5, 10.0608
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 7, 1, 15.1497
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 7, 2, 10.0187
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 7, 3, 10.0256
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 7, 4, 9.8517
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 7, 5, 9.95734
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 8, 1, 9.94025
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 8, 2, 9.97177
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 8, 3, 10.0012
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 8, 4, 10.0553
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 8, 5, 10.1204
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 9, 1, 10.188
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 9, 2, 10.1341
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 9, 3, 10.0045
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 9, 4, 10.0135
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 9, 5, 10.3209
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 10, 1, 9.98925
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 10, 2, 9.96759
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 10, 3, 10.3267
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 10, 4, 10.0482
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 10, 5, 10.1117
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 11, 1, 10.0728
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 11, 2, 10.254
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 11, 3, 10.0106
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 11, 4, 10.122
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 11, 5, 10.5595
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 12, 1, 10.0907
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 12, 2, 10.1557
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 12, 3, 10.1297
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 12, 4, 10.0358
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 12, 5, 10.0217
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 1, 13, 1, 
